,lexicon,neighborhood_size,num_homophones,num_phones,num_sylls_est,prob,surprisal,word,mode
0,1,4,1,6,2,-5.405598299175082,5.405598299175082,sIn@ns,neutral
1,1,0,0,12,5,-7.599148889184755,7.599148889184755,h{bItjUItIkP,neutral
2,1,0,0,10,5,-7.715425599281234,7.715425599281234,p@zIS@n8rI,neutral
3,1,0,0,9,3,-7.460542896641002,7.460542896641002,InkrEdb$d,neutral
4,1,1,1,8,3,-4.842928279000814,4.842928279000814,IrEktnIs,neutral
5,1,2,0,6,2,-4.9452317405660775,4.9452317405660775,s2t1SH,neutral
6,1,1,0,9,4,-6.1504115965736945,6.1504115965736945,TivI1S@nP,neutral
7,1,0,0,11,4,-6.30650977343672,6.30650977343672,Intr@dVktIv,neutral
8,1,21,3,3,1,-4.72658602009974,4.72658602009974,p#R,neutral
9,1,1,0,7,3,-5.94508572079347,5.94508572079347,h8nEtIk,neutral
10,1,20,0,3,1,-4.598708626808332,4.598708626808332,f5m,neutral
11,1,0,0,6,3,-8.290621393183912,8.290621393183912,VnIvEn,neutral
12,1,0,0,13,5,-11.848332515715569,11.848332515715569,sEpr@sEsm$l@R,neutral
13,1,3,1,4,1,-4.5697995464452426,4.5697995464452426,klQT,neutral
14,1,2,1,5,2,-5.627992005440811,5.627992005440811,s2nIk,neutral
15,1,1,0,6,2,-5.802943740443541,5.802943740443541,k$zlIN,neutral
16,1,0,0,9,4,-8.736780264057455,8.736780264057455,pUSIl@tEl,neutral
17,1,1,1,5,2,-4.656329230694307,4.656329230694307,dImin,neutral
18,1,0,0,6,3,-6.297829349508753,6.297829349508753,pEp@mI,neutral
19,1,0,1,8,3,-5.7521927951960325,5.7521927951960325,{n_ElIkP,neutral
20,1,1,0,6,3,-6.354203937704528,6.354203937704528,vIZ9l2,neutral
21,1,0,0,6,2,-5.874354697257966,5.874354697257966,t1ml2n,neutral
22,1,1,1,4,2,-4.684887957877202,4.684887957877202,$T@R,neutral
23,1,0,0,14,5,-10.682580682392974,10.682580682392974,s5lf1nIdl@nd@R,neutral
24,1,0,0,10,4,-6.661945864705297,6.661945864705297,k@n_Ev@tIv,neutral
25,1,4,1,8,3,-4.847159717126169,4.847159717126169,prEsINlI,neutral
26,1,0,0,7,2,-6.032664188800738,6.032664188800738,mVdfl{t,neutral
27,1,0,0,6,2,-5.875085346369995,5.875085346369995,h1h6nd,neutral
28,1,1,0,7,3,-7.795942832457237,7.795942832457237,8bVgb8R,neutral
29,1,0,0,9,4,-7.1520020584298605,7.1520020584298605,p@t3bj@lI,neutral
30,1,0,0,11,4,-6.664902701230397,6.664902701230397,VmbrEl@v@nt,neutral
31,1,0,0,10,4,-7.7274722114169325,7.7274722114169325,fl{g@d5tPI,neutral
32,1,0,0,6,2,-5.481669474503614,5.481669474503614,fUtnIk,neutral
33,1,0,0,12,6,-8.645179889711507,8.645179889711507,h2@l@b$r7slI,neutral
34,1,1,0,7,3,-7.334964055953805,7.334964055953805,d{lIg1t,neutral
35,1,0,0,10,5,-5.682728564683436,5.682728564683436,Env7bIl@tI,neutral
36,1,0,0,6,2,-5.545032943268514,5.545032943268514,skImb5,neutral
37,1,1,1,6,2,-4.766682165554472,4.766682165554472,t3mInP,neutral
38,1,0,0,9,4,-5.399871365561034,5.399871365561034,k$p@r@blI,neutral
39,1,4,2,5,2,-4.630181139172527,4.630181139172527,sIN@R,neutral
40,1,0,0,7,2,-5.282200026875254,5.282200026875254,tQpm@nt,neutral
41,1,18,3,4,1,-4.601622018816874,4.601622018816874,br1z,neutral
42,1,0,0,6,2,-6.030915387406744,6.030915387406744,r1Jkju,neutral
43,1,1,0,6,3,-5.169731964572228,5.169731964572228,_iEnpi,neutral
44,1,0,0,7,2,-5.923165217326414,5.923165217326414,InvEsHs,neutral
45,1,0,0,14,5,-11.793590260202738,11.793590260202738,k@mpElvIsEkS9s,neutral
46,1,0,0,7,3,-7.123468990494397,7.123468990494397,l{rIfIs,neutral
47,1,1,0,6,2,-6.308567160487925,6.308567160487925,d#tb$n,neutral
48,1,2,3,5,2,-5.002818823080783,5.002818823080783,{ntin,neutral
49,1,5,0,4,2,-4.837766429789909,4.837766429789909,k{l@,neutral
50,1,0,1,9,4,-5.22938851876476,5.22938851876476,dIs$g@n2z,neutral
51,1,1,0,6,3,-4.8993175977109775,4.8993175977109775,mEt@lI,neutral
52,1,15,1,4,2,-5.220727812322049,5.220727812322049,s@rI,neutral
53,1,1,0,5,2,-4.785936292793162,4.785936292793162,QblIn,neutral
54,1,0,1,9,4,-5.089278220675684,5.089278220675684,VnsisINlI,neutral
55,1,19,1,4,1,-4.2848469687486,4.2848469687486,br1n,neutral
56,1,0,0,17,7,-13.46293344268956,13.46293344268956,rIgrEn@d7R{mn@blI,neutral
57,1,1,0,8,3,-6.048907201066324,6.048907201066324,dIsk@p1t,neutral
58,1,4,1,5,2,-4.727963274426052,4.727963274426052,S1mlI,neutral
59,1,1,3,7,3,-4.639184097144548,4.639184097144548,vIS@slI,neutral
60,1,25,2,3,1,-4.615632245780949,4.615632245780949,w1n,neutral
61,1,3,0,7,3,-4.756404006413566,4.756404006413566,skQl@_I,neutral
62,1,18,2,3,1,-4.551228844322564,4.551228844322564,sQl,neutral
63,1,20,1,3,1,-4.617821632427334,4.617821632427334,nit,neutral
64,1,0,1,5,2,-4.760014907487619,4.760014907487619,f5tQn,neutral
65,1,3,0,5,2,-4.949257324112679,4.949257324112679,t@rin,neutral
66,1,0,0,15,5,-8.270072974392452,8.270072974392452,kQmpIt@lIstm@nt,neutral
67,1,3,0,5,2,-4.997066697140289,4.997066697140289,dItrI,neutral
68,1,0,0,10,4,-6.812884416110243,6.812884416110243,prIzEntIlI,neutral
69,1,0,0,9,3,-4.460853258812725,4.460853258812725,pQpjUl1SH,neutral
70,1,0,0,7,3,-5.936354898521555,5.936354898521555,bInIg@R,neutral
71,1,5,2,5,2,-4.268883737371202,4.268883737371202,m#kIt,neutral
72,1,0,0,5,2,-5.2563745804244855,5.2563745804244855,#Tr2t,neutral
73,1,2,1,7,2,-4.573496773705511,4.573496773705511,IntEnSH,neutral
74,1,1,0,6,2,-4.85286903425076,4.85286903425076,b{kb5n,neutral
75,1,6,2,4,1,-4.688852644064217,4.688852644064217,h#ft,neutral
76,1,0,0,14,6,-13.99273070751357,13.99273070751357,dETIlujUl@tnIs,neutral
77,1,3,2,5,1,-4.598119490606901,4.598119490606901,tr2bP,neutral
78,1,1,0,8,3,-6.064317044227227,6.064317044227227,InsEnd@m,neutral
79,1,0,0,9,3,-5.766963571527628,5.766963571527628,prIvEn_@R,neutral
80,1,0,1,7,2,-5.505185469608496,5.505185469608496,g{mbuzP,neutral
81,1,0,0,8,3,-5.792641105444066,5.792641105444066,h{tlIslI,neutral
82,1,0,0,10,4,-8.42987142712615,8.42987142712615,vEstrIJ9lI,neutral
83,1,0,0,11,4,-9.961426840407624,9.961426840407624,hUk@nv3t@ns,neutral
84,1,1,0,5,2,-4.62339662480736,4.62339662480736,p@v3s,neutral
85,1,1,0,7,2,-5.538789293141444,5.538789293141444,mIs_4nt,neutral
86,1,1,0,9,4,-7.714831180291668,7.714831180291668,@S1mIdl@n,neutral
87,1,26,4,3,1,-4.576445791545653,4.576445791545653,nEt,neutral
88,1,0,0,6,2,-6.177710801357422,6.177710801357422,S3tw1v,neutral
89,1,1,1,9,4,-4.92073609299054,4.92073609299054,Inv2@l@ns,neutral
90,1,2,0,8,2,-5.734077568730855,5.734077568730855,fristhUd,neutral
91,1,8,0,5,2,-4.730686777674397,4.730686777674397,r2tIN,neutral
92,1,0,0,9,3,-6.115724960905342,6.115724960905342,juvjUlIst,neutral
93,1,2,0,8,3,-4.971700583670556,4.971700583670556,isTEtIkP,neutral
94,1,4,0,5,2,-5.5827447390128615,5.5827447390128615,f$k@R,neutral
95,1,17,3,4,1,-4.068450757772598,4.068450757772598,sIks,neutral
96,1,0,1,6,2,-5.483599534151597,5.483599534151597,h$swUd,neutral
97,1,0,0,6,2,-5.116471676272416,5.116471676272416,munk#f,neutral
98,1,1,0,6,2,-6.081362568867298,6.081362568867298,blEnd@,neutral
99,1,12,0,4,1,-4.629479783405112,4.629479783405112,fl3t,neutral
100,1,2,0,7,3,-5.223307980940355,5.223307980940355,frikIlI,neutral
101,1,8,0,4,1,-6.146542378898407,6.146542378898407,dQst,neutral
102,1,0,0,15,6,-10.728644959421777,10.728644959421777,t{Nk@r1_@stIdlI,neutral
103,1,0,2,7,3,-5.019756372408391,5.019756372408391,rIdim@R,neutral
104,1,0,0,6,2,-6.533499651831358,6.533499651831358,k$stQp,neutral
